FlowID,Source,Destination,Throughput(Mbps),Latency_avg(ms),Jitter_avg(ms),PacketLoss(%),Run_Timestamp,Interpretation
1,10.1.4.1,10.1.4.3,0.0,0.0,0.0,100.0,18-Oct-2025_09-46,Inactive or heavily interfered link
2,10.1.4.2,10.1.4.3,0.0,0.0,0.0,100.0,18-Oct-2025_09-46,Inactive or heavily interfered link
3,10.1.3.1,10.1.3.8,0.845912,19.7472,6.60006,99.8929,18-Oct-2025_09-46,Severe congestion/interference
4,10.1.3.2,10.1.3.8,0.0182818,2.57143,2.59898,98.9643,18-Oct-2025_09-46,Inactive or heavily interfered link
5,10.1.3.3,10.1.3.8,0.0,0.0,0.0,100.0,18-Oct-2025_09-46,Inactive or heavily interfered link
6,10.1.3.4,10.1.3.8,0.0,0.0,0.0,100.0,18-Oct-2025_09-46,Inactive or heavily interfered link
7,10.1.3.5,10.1.3.8,0.0981775,3.58564,4.10745,99.5,18-Oct-2025_09-46,Inactive or heavily interfered link
8,10.1.3.6,10.1.3.8,0.852064,1.37983,1.67202,97.3571,18-Oct-2025_09-46,Severe congestion/interference
9,10.1.3.7,10.1.3.8,0.0156285,2.61114,2.96595,99.5357,18-Oct-2025_09-46,Inactive or heavily interfered link
1,10.1.3.1,10.1.3.8,0.845912,19.7472,6.60006,99.8929,18-Oct-2025_10-54,Severe congestion/interference
2,10.1.3.2,10.1.3.8,0.0182818,2.57143,2.59898,98.9643,18-Oct-2025_10-54,Inactive or heavily interfered link
3,10.1.3.3,10.1.3.8,0.0,0.0,0.0,100.0,18-Oct-2025_10-54,Inactive or heavily interfered link
4,10.1.3.4,10.1.3.8,0.0,0.0,0.0,100.0,18-Oct-2025_10-54,Inactive or heavily interfered link
5,10.1.3.5,10.1.3.8,0.0981775,3.58564,4.10745,99.5,18-Oct-2025_10-54,Inactive or heavily interfered link
6,10.1.3.6,10.1.3.8,0.852064,1.37983,1.67202,97.3571,18-Oct-2025_10-54,Severe congestion/interference
7,10.1.3.7,10.1.3.8,0.0156285,2.61114,2.96595,99.5357,18-Oct-2025_10-54,Inactive or heavily interfered link
1,10.1.3.1,10.1.3.8,0.845912,19.7472,6.60006,99.8929,18-Oct-2025_10-57,Severe congestion/interference
2,10.1.3.2,10.1.3.8,0.0182818,2.57143,2.59898,98.9643,18-Oct-2025_10-57,Inactive or heavily interfered link
3,10.1.3.3,10.1.3.8,0.0,0.0,0.0,100.0,18-Oct-2025_10-57,Inactive or heavily interfered link
4,10.1.3.4,10.1.3.8,0.0,0.0,0.0,100.0,18-Oct-2025_10-57,Inactive or heavily interfered link
5,10.1.3.5,10.1.3.8,0.0981775,3.58564,4.10745,99.5,18-Oct-2025_10-57,Inactive or heavily interfered link
6,10.1.3.6,10.1.3.8,0.852064,1.37983,1.67202,97.3571,18-Oct-2025_10-57,Severe congestion/interference
7,10.1.3.7,10.1.3.8,0.0156285,2.61114,2.96595,99.5357,18-Oct-2025_10-57,Inactive or heavily interfered link
1,10.1.3.1,10.1.3.8,0.845912,19.7472,6.60006,99.8929,18-Oct-2025_11-00,Severe congestion/interference
2,10.1.3.2,10.1.3.8,0.0182818,2.57143,2.59898,98.9643,18-Oct-2025_11-00,Inactive or heavily interfered link
3,10.1.3.3,10.1.3.8,0.0,0.0,0.0,100.0,18-Oct-2025_11-00,Inactive or heavily interfered link
4,10.1.3.4,10.1.3.8,0.0,0.0,0.0,100.0,18-Oct-2025_11-00,Inactive or heavily interfered link
5,10.1.3.5,10.1.3.8,0.0981775,3.58564,4.10745,99.5,18-Oct-2025_11-00,Inactive or heavily interfered link
6,10.1.3.6,10.1.3.8,0.852064,1.37983,1.67202,97.3571,18-Oct-2025_11-00,Severe congestion/interference
7,10.1.3.7,10.1.3.8,0.0156285,2.61114,2.96595,99.5357,18-Oct-2025_11-00,Inactive or heavily interfered link
