FlowID,Source,Destination,Throughput(Mbps),Delay(ms),Jitter(ms),PacketLoss(%)
1,10.1.3.1,10.1.3.11,0.0460215,0.798647,0.618415,99.2222
2,10.1.3.2,10.1.3.11,0.0262992,0.693904,0.825819,98.8333
3,10.1.3.3,10.1.3.11,-0,-nan,-nan,100
4,10.1.3.4,10.1.3.11,-0,-nan,-nan,100
5,10.1.3.5,10.1.3.11,-0,-nan,-nan,100
6,10.1.3.6,10.1.3.11,-0,-nan,-nan,100
7,10.1.3.7,10.1.3.11,0.846186,0.170029,0.0416519,89.9444
8,10.1.3.8,10.1.3.11,-0,-nan,-nan,100
9,10.1.3.9,10.1.3.11,-0,-nan,-nan,100
10,10.1.3.10,10.1.3.11,0.224588,16.2699,2.92617,84.8333
11,10.1.3.11,10.1.3.2,0.0263046,0.445862,0.256526,0
12,10.1.3.11,10.1.3.7,0.848161,0.223069,0.0422267,0
13,10.1.3.11,10.1.3.10,0.278027,0.745778,0.0684843,0
14,10.1.3.11,10.1.3.1,0.966349,1.4196,0.716019,0
