FlowID,Source,Destination,Throughput(Mbps),Latency_ms,Jitter_ms,PacketLoss(%)
1,10.1.3.1,10.1.3.31,0,0,0,100
2,10.1.3.2,10.1.3.31,0,0,0,100
3,10.1.3.3,10.1.3.31,0,0,0,100
4,10.1.3.4,10.1.3.31,0,0,0,100
5,10.1.3.5,10.1.3.31,0,0,0,100
6,10.1.3.6,10.1.3.31,0,0,0,100
7,10.1.3.7,10.1.3.31,0,0,0,100
8,10.1.3.8,10.1.3.31,0,0,0,100
9,10.1.3.9,10.1.3.31,0,0,0,100
10,10.1.3.10,10.1.3.31,0,0,0,100
11,10.1.3.11,10.1.3.31,0,0,0,100
12,10.1.3.12,10.1.3.31,0,0,0,100
13,10.1.3.13,10.1.3.31,0,0,0,100
14,10.1.3.14,10.1.3.31,0,0,0,100
15,10.1.3.15,10.1.3.31,0,0,0,100
16,10.1.3.16,10.1.3.31,0,0,0,100
17,10.1.3.17,10.1.3.31,0,0,0,100
18,10.1.3.18,10.1.3.31,0,0,0,100
19,10.1.3.19,10.1.3.31,0,0,0,100
20,10.1.3.20,10.1.3.31,0.111401,3.90497,4.2647,97.0357
21,10.1.3.21,10.1.3.31,0,0,0,100
22,10.1.3.22,10.1.3.31,0,0,0,100
23,10.1.3.23,10.1.3.31,0,0,0,100
24,10.1.3.24,10.1.3.31,0,0,0,100
25,10.1.3.25,10.1.3.31,0,0,0,100
26,10.1.3.26,10.1.3.31,0,0,0,100
27,10.1.3.27,10.1.3.31,0,0,0,100
28,10.1.3.28,10.1.3.31,0,0,0,100
29,10.1.3.29,10.1.3.31,0,0,0,100
30,10.1.3.30,10.1.3.31,0,0,0,100
